query,intent
Show me the history of rem duration for last month,get_history
Tell me my recovery index,get_current
Compare rhr values: this week vs the previous week,compare
What is the value of resting hr today?,get_current
last 5 days what was my steps taken?,get_history
Show me comparison of deep sleep for last 7 days and previous 7 days,compare
What should I eat to optimize recovery?,advice
"During yesterday, what was my vo2?",get_history
last 2 weeks what was my heart rate variability?,get_history
Give me a comparison of steps taken between Monday and Tuesday,compare
Can I see my efficiency past week?,get_history
What's my current movement score?,get_current
Compare movement index values: last week vs the week before,compare
What should I do to raise my sleep quality percentage?,advice
I'd like to see my efficiency from today,get_history
What affects my sleep length negatively?,advice
Compare sleep time values: this week vs last week,compare
What was my deep sleep like previous 7 days?,get_history
Recovery advice?,advice
Give me my light sleep minutes for today,get_history
What activity do you recommend?,advice
Compare avg temp values: this week vs the previous week,compare
Compare my deep sleep duration this month vs last month,compare
Current skin temperature,get_current
How does last 7 days deep sleep compare to previous 7 days?,compare
What's my recovery now?,get_current
How is my steps doing today?,get_current
Get my resting hr,get_current
How does Monday avg temp compare to Tuesday?,compare
What's a good training intensity for today?,advice
What's my sleep time now?,get_current
What's my current rem duration?,get_current
What's today's rem duration?,get_current
What was the trend of rem duration this year?,get_history
How do I get a higher hrv average?,advice
Show me comparison of activity minutes for last 7 days and previous 7 days,compare
How can I make my light sleep minutes better?,advice
previous 7 days what was my recovery score?,get_history
Tell me my rem,get_current
Is my active time better this week or last week?,compare
What was my sleep like this week?,get_history
What's my hrv average now?,get_current
"Which day had better recovery index, this week or last week?",compare
How does my activity score compare between last 7 days and previous 7 days?,compare
What was the trend of rem the last couple of weeks?,get_history
How can I prevent my sleep score from dropping?,advice
Compare light sleep minutes values: this week vs last week,compare
What affects my rem negatively?,advice
Show me comparison of sleep time for last 7 days and previous 7 days,compare
Compare my movement this month vs last month,compare
How was my sleep quality percentage last 2 weeks?,get_history
What should I eat today?,advice
What should I do to raise my hrv?,advice
Can you suggest a meal plan?,advice
Can you summarize my deep sleep duration for last month?,get_history
